Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C5,10uF,C_0805_2012Metric,136.905188,-107.6577,0,bottom
C6,1uF,C_0603_1608Metric,136.654972,-101.544976,0,bottom
C11,100nF,C_0603_1608Metric,140.6906,-109.3978,0,bottom
C12,1uF,C_0603_1608Metric,140.462,-103.5304,0,bottom
C13,100nF,C_0603_1608Metric,125.225,-95.275,0,bottom
C14,100nF,C_0603_1608Metric,120.4468,-92.3036,90,bottom
C15,1uF,C_0603_1608Metric,126.238,-92.075,-90,bottom
C16,10uF,C_0805_2012Metric,115.9356,-107.988,-90,bottom
C17,10uF,C_0805_2012Metric,118.7356,-109.238,180,bottom
C18,100nF,C_0603_1608Metric,91.9734,-112.9538,90,bottom
C19,100nF,C_0603_1608Metric,150.2956,-102.146,90,bottom
C20,10uF,C_0805_2012Metric,152.2956,-101.946,90,bottom
C21,100nF,C_0603_1608Metric,146.6456,-108.396,180,bottom
C22,100nF,C_0603_1608Metric,146.6456,-106.546,180,bottom
C23,100nF,C_0603_1608Metric,229.8055,-113.0533,90,bottom
C24,100nF,C_0603_1608Metric,163.6,-102.2,90,bottom
C25,10uF,C_0805_2012Metric,165.6,-102,90,bottom
C26,100nF,C_0603_1608Metric,159.95,-108.45,180,bottom
C27,100nF,C_0603_1608Metric,159.95,-106.6,180,bottom
C28,10uF,C_0805_2012Metric,128.7452,-105.41,90,bottom
C29,10uF,C_0805_2012Metric,126.6952,-105.41,90,bottom
C30,100nF,C_0603_1608Metric,156.718,-97.1,90,bottom
C31,100nF,C_0603_1608Metric,91.9226,-106.7291,90,bottom
C32,47nF,C_0603_1608Metric,94.7674,-109.1297,180,bottom
C33,1nF,C_0603_1608Metric,167.7122,-94.8198,-90,bottom
C34,100nF,C_0603_1608Metric,106.3498,-105.651,-90,bottom
C35,100nF,C_0603_1608Metric,111.2012,-105.651,-90,bottom
C36,100nF,C_0603_1608Metric,104.8004,-105.651,-90,bottom
C37,100nF,C_0603_1608Metric,99.9744,-105.651,-90,bottom
C38,100nF,C_0603_1608Metric,104.8512,-108.953,90,bottom
C39,100nF,C_0603_1608Metric,99.9998,-108.9784,90,bottom
C40,100nF,C_0603_1608Metric,106.4006,-108.953,90,bottom
C41,100nF,C_0603_1608Metric,111.2266,-108.953,90,bottom
D1,NSR0520V2T1G,D_SOD-523,98.4504,-105.8542,90,bottom
H1,MountingHole,24929,121.95,-100.675,180,bottom
H2,MountingHole,24929,229.05,-93.175,180,bottom
J1,Conn_01x02_Socket,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,135.4212,-92.8276,-90,bottom
J2,Conn_01x04_Socket,Motor_Header,97.282,-97.028,180,bottom
J3,Conn_01x04_Socket,Motor_Header,222.1992,-100.6746,0,bottom
J4,Conn_01x02_Socket,Batt_Header,87.8586,-107.6796,180,bottom
J5,Conn_01x07_Pin,PinHeader_1x07_P2.54mm_Horizontal,116.915,-100.775,90,bottom
J7,Conn_01x04_Socket,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,90.0256,-97.4144,-90,bottom
J8,Conn_01x04_Socket,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,231.4,-102.875,90,bottom
L2,2.2uH,L_Murata_DFE201610P,121.0356,-106.788,-90,bottom
Q1,DMG3414U-7,SOT-23-3,129.6371,-95.6627,180,bottom
Q2,DMG3414U-7,SOT-23-3,131.3625,-99.15,180,bottom
Q5,DMG3414U-7,SOT-23-3,133.416,-106.5839,90,bottom
Q6,"SSM3J332R,LF",SOT-23-3,153.8025,-97.425,0,bottom
