v2	V(vout)	I(R4)
Step Information: Illu_set=100  (Run: 1/10)
1.000000000000000e-001	1.000000e-001	4.175780e-003
2.000000000000000e-001	2.000000e-001	4.162385e-003
3.000000000000000e-001	3.000000e-001	4.148989e-003
4.000000000000000e-001	4.000000e-001	4.135594e-003
5.000000000000000e-001	5.000000e-001	4.122199e-003
6.000000000000000e-001	6.000000e-001	4.108803e-003
7.000000000000000e-001	7.000000e-001	4.095408e-003
8.000000000000000e-001	8.000000e-001	4.082012e-003
9.000000000000000e-001	9.000000e-001	4.068617e-003
1.000000000000000e+000	1.000000e+000	4.055221e-003
1.100000000000000e+000	1.100000e+000	4.041824e-003
1.200000000000000e+000	1.200000e+000	4.028426e-003
1.300000000000000e+000	1.300000e+000	4.015028e-003
1.400000000000000e+000	1.400000e+000	4.001628e-003
1.500000000000000e+000	1.500000e+000	3.988225e-003
1.600000000000000e+000	1.600000e+000	3.974817e-003
1.700000000000000e+000	1.700000e+000	3.961404e-003
1.800000000000000e+000	1.800000e+000	3.947981e-003
1.900000000000000e+000	1.900000e+000	3.934542e-003
2.000000000000000e+000	2.000000e+000	3.921080e-003
2.100000000000000e+000	2.100000e+000	3.907583e-003
2.200000000000000e+000	2.200000e+000	3.894031e-003
2.300000000000000e+000	2.300000e+000	3.880394e-003
2.400000000000000e+000	2.400000e+000	3.866629e-003
2.500000000000000e+000	2.500000e+000	3.852663e-003
2.600000000000000e+000	2.600000e+000	3.838392e-003
2.700000000000000e+000	2.700000e+000	3.823649e-003
2.800000000000000e+000	2.800000e+000	3.808183e-003
2.900000000000000e+000	2.900000e+000	3.791604e-003
3.000000000000000e+000	3.000000e+000	3.773315e-003
3.100000000000000e+000	3.100000e+000	3.752397e-003
3.200000000000000e+000	3.200000e+000	3.727438e-003
3.300000000000000e+000	3.300000e+000	3.696270e-003
3.400000000000000e+000	3.400000e+000	3.655561e-003
3.500000000000000e+000	3.500000e+000	3.600194e-003
3.600000000000000e+000	3.600000e+000	3.522320e-003
3.700000000000000e+000	3.700000e+000	3.409905e-003
3.800000000000000e+000	3.800000e+000	3.244531e-003
3.900000000000000e+000	3.900000e+000	2.998071e-003
4.000000000000000e+000	4.000000e+000	2.627726e-003
4.100000000000000e+000	4.100000e+000	2.068730e-003
4.200000000000000e+000	4.200000e+000	1.223869e-003
4.300000000000000e+000	4.300000e+000	1.000000e-004
4.400000000000000e+000	4.400000e+000	1.000000e-004
4.500000000000000e+000	4.500000e+000	1.000000e-004
4.600000000000000e+000	4.600000e+000	1.000000e-004
4.625000000000000e+000	4.625000e+000	1.000000e-004
4.650000000000000e+000	4.650000e+000	1.000000e-004
4.675000000000000e+000	4.675000e+000	1.000000e-004
4.700000000000000e+000	4.700000e+000	1.000000e-004
4.725000000000000e+000	4.725000e+000	1.000000e-004
4.750000000000000e+000	4.750000e+000	1.000000e-004
4.775000000000000e+000	4.775000e+000	1.000000e-004
4.800000000000000e+000	4.800000e+000	1.000000e-004
4.825000000000000e+000	4.825000e+000	1.000000e-004
4.850000000000000e+000	4.850000e+000	1.000000e-004
4.875000000000000e+000	4.875000e+000	1.000000e-004
4.900000000000000e+000	4.900000e+000	1.000000e-004
4.925000000000000e+000	4.925000e+000	1.000000e-004
4.950000000000000e+000	4.950000e+000	1.000000e-004
4.975000000000000e+000	4.975000e+000	1.000000e-004
5.000000000000000e+000	5.000000e+000	1.000000e-004
Step Information: Illu_set=200  (Run: 2/10)
1.000000000000000e-001	1.000000e-001	8.364956e-003
2.000000000000000e-001	2.000000e-001	8.351561e-003
3.000000000000000e-001	3.000000e-001	8.338165e-003
4.000000000000000e-001	4.000000e-001	8.324770e-003
5.000000000000000e-001	5.000000e-001	8.311374e-003
6.000000000000000e-001	6.000000e-001	8.297979e-003
7.000000000000000e-001	7.000000e-001	8.284584e-003
8.000000000000000e-001	8.000000e-001	8.271188e-003
9.000000000000000e-001	9.000000e-001	8.257792e-003
1.000000000000000e+000	1.000000e+000	8.244396e-003
1.100000000000000e+000	1.100000e+000	8.230999e-003
1.200000000000000e+000	1.200000e+000	8.217602e-003
1.300000000000000e+000	1.300000e+000	8.204203e-003
1.400000000000000e+000	1.400000e+000	8.190802e-003
1.500000000000000e+000	1.500000e+000	8.177400e-003
1.600000000000000e+000	1.600000e+000	8.163992e-003
1.700000000000000e+000	1.700000e+000	8.150578e-003
1.800000000000000e+000	1.800000e+000	8.137154e-003
1.900000000000000e+000	1.900000e+000	8.123714e-003
2.000000000000000e+000	2.000000e+000	8.110251e-003
2.100000000000000e+000	2.100000e+000	8.096751e-003
2.200000000000000e+000	2.200000e+000	8.083194e-003
2.300000000000000e+000	2.300000e+000	8.069552e-003
2.400000000000000e+000	2.400000e+000	8.055775e-003
2.500000000000000e+000	2.500000e+000	8.041794e-003
2.600000000000000e+000	2.600000e+000	8.027500e-003
2.700000000000000e+000	2.700000e+000	8.012720e-003
2.800000000000000e+000	2.800000e+000	7.997198e-003
2.900000000000000e+000	2.900000e+000	7.980533e-003
3.000000000000000e+000	3.000000e+000	7.962112e-003
3.100000000000000e+000	3.100000e+000	7.940991e-003
3.200000000000000e+000	3.200000e+000	7.915719e-003
3.300000000000000e+000	3.300000e+000	7.884071e-003
3.400000000000000e+000	3.400000e+000	7.842625e-003
3.500000000000000e+000	3.500000e+000	7.786125e-003
3.600000000000000e+000	3.600000e+000	7.706512e-003
3.700000000000000e+000	3.700000e+000	7.591430e-003
3.800000000000000e+000	3.800000e+000	7.421967e-003
3.900000000000000e+000	3.900000e+000	7.169253e-003
4.000000000000000e+000	4.000000e+000	6.789369e-003
4.100000000000000e+000	4.100000e+000	6.215874e-003
4.200000000000000e+000	4.200000e+000	5.349115e-003
4.300000000000000e+000	4.300000e+000	4.041526e-003
4.400000000000000e+000	4.400000e+000	2.078763e-003
4.500000000000000e+000	4.500000e+000	1.000000e-004
4.600000000000000e+000	4.600000e+000	1.000000e-004
4.625000000000000e+000	4.625000e+000	1.000000e-004
4.650000000000000e+000	4.650000e+000	1.000000e-004
4.675000000000000e+000	4.675000e+000	1.000000e-004
4.700000000000000e+000	4.700000e+000	1.000000e-004
4.725000000000000e+000	4.725000e+000	1.000000e-004
4.750000000000000e+000	4.750000e+000	1.000000e-004
4.775000000000000e+000	4.775000e+000	1.000000e-004
4.800000000000000e+000	4.800000e+000	1.000000e-004
4.825000000000000e+000	4.825000e+000	1.000000e-004
4.850000000000000e+000	4.850000e+000	1.000000e-004
4.875000000000000e+000	4.875000e+000	1.000000e-004
4.900000000000000e+000	4.900000e+000	1.000000e-004
4.925000000000000e+000	4.925000e+000	1.000000e-004
4.950000000000000e+000	4.950000e+000	1.000000e-004
4.975000000000000e+000	4.975000e+000	1.000000e-004
5.000000000000000e+000	5.000000e+000	1.000000e-004
Step Information: Illu_set=300  (Run: 3/10)
1.000000000000000e-001	1.000000e-001	1.255413e-002
2.000000000000000e-001	2.000000e-001	1.254074e-002
3.000000000000000e-001	3.000000e-001	1.252734e-002
4.000000000000000e-001	4.000000e-001	1.251395e-002
5.000000000000000e-001	5.000000e-001	1.250055e-002
6.000000000000000e-001	6.000000e-001	1.248715e-002
7.000000000000000e-001	7.000000e-001	1.247376e-002
8.000000000000000e-001	8.000000e-001	1.246036e-002
9.000000000000000e-001	9.000000e-001	1.244697e-002
1.000000000000000e+000	1.000000e+000	1.243357e-002
1.100000000000000e+000	1.100000e+000	1.242017e-002
1.200000000000000e+000	1.200000e+000	1.240678e-002
1.300000000000000e+000	1.300000e+000	1.239338e-002
1.400000000000000e+000	1.400000e+000	1.237998e-002
1.500000000000000e+000	1.500000e+000	1.236657e-002
1.600000000000000e+000	1.600000e+000	1.235317e-002
1.700000000000000e+000	1.700000e+000	1.233975e-002
1.800000000000000e+000	1.800000e+000	1.232633e-002
1.900000000000000e+000	1.900000e+000	1.231289e-002
2.000000000000000e+000	2.000000e+000	1.229942e-002
2.100000000000000e+000	2.100000e+000	1.228592e-002
2.200000000000000e+000	2.200000e+000	1.227236e-002
2.300000000000000e+000	2.300000e+000	1.225871e-002
2.400000000000000e+000	2.400000e+000	1.224492e-002
2.500000000000000e+000	2.500000e+000	1.223093e-002
2.600000000000000e+000	2.600000e+000	1.221661e-002
2.700000000000000e+000	2.700000e+000	1.220179e-002
2.800000000000000e+000	2.800000e+000	1.218621e-002
2.900000000000000e+000	2.900000e+000	1.216946e-002
3.000000000000000e+000	3.000000e+000	1.215090e-002
3.100000000000000e+000	3.100000e+000	1.212957e-002
3.200000000000000e+000	3.200000e+000	1.210398e-002
