step,illu,pmp
1,1,0
2,2,0
3,3,0.0000246423
4,4,0.0000438072
5,5,0.0000684501
6,6,0.0000985674
7,7,0.000134157
8,8,0.00017522
9,9,0.000221738
10,10,0.000273725
11,11,0.000331083
12,12,0.000393883
13,13,0.000461733
14,14,0.000534886
15,15,0.000612292
16,16,0.00069417
17,17,0.000780679
18,18,0.000868468
19,19,0.000959482
20,20,0.0010547
21,21,0.00115154
22,22,0.00124864
23,23,0.00134602
24,24,0.00144543
25,25,0.00154789
26,26,0.00165214
27,27,0.00175657
28,28,0.00186084
29,29,0.00196561
30,30,0.00207057
31,31,0.00217571
32,32,0.00228137
33,33,0.00238884
34,34,0.00249814
35,35,0.002608
36,36,0.00271797
37,37,0.00282807
38,38,0.00293829
39,39,0.00304863
40,40,0.00315909
41,41,0.00326966
42,42,0.00338036
43,43,0.00349116
44,44,0.00360208
45,45,0.00371337
46,46,0.00382577
47,47,0.00393931
48,48,0.00405326
49,49,0.00416729
50,50,0.0042814
51,51,0.0043956
52,52,0.00450988
53,53,0.00462423
54,54,0.00473867
55,55,0.00485319
56,56,0.00496778
57,57,0.00508245
58,58,0.0051972
59,59,0.00531203
60,60,0.00542693
61,61,0.00554197
62,62,0.00565767
63,63,0.00577414
64,64,0.00589112
65,65,0.00600817
66,66,0.00612527
67,67,0.00624243
68,68,0.00635965
69,69,0.00647693
70,70,0.00659426
71,71,0.00671165
72,72,0.0068291
73,73,0.00694661
74,74,0.00706417
75,75,0.00718178
76,76,0.00729945
77,77,0.00741717
78,78,0.00753496
79,79,0.00765279
80,80,0.00777086
81,81,0.00788949
82,82,0.00800866
83,83,0.00812802
84,84,0.00824743
85,85,0.00836688
86,86,0.00848637
87,87,0.00860591
88,88,0.00872549
89,89,0.00884511
90,90,0.00896478
91,91,0.00908448
92,92,0.00920423
93,93,0.00932403
94,94,0.00944386
95,95,0.00956374
96,96,0.00968365
97,97,0.00980361
98,98,0.00992361
99,99,0.0100437
100,100,0.0101637
101,101,0.0102839
102,102,0.010404
103,103,0.0105242
104,104,0.0106445
105,105,0.0107648
106,106,0.0108851
107,107,0.0110054
108,108,0.0111259
109,109,0.0112466
110,110,0.0113677
111,111,0.0114892
112,112,0.0116111
113,113,0.0117333
114,114,0.0118558
115,115,0.0119783
116,116,0.0121008
117,117,0.0122275
118,118,0.0123492
119,119,0.012471
120,120,0.0125928
121,121,0.0127146
122,122,0.0128365
123,123,0.0129584
124,124,0.0130803
125,125,0.0132022
126,126,0.0133242
127,127,0.0134462
128,128,0.0135683
129,129,0.0136904
130,130,0.0138125
131,131,0.0139329
132,132,0.0140566
133,133,0.0141804
134,134,0.0143041
135,135,0.0144279
136,136,0.0145517
137,137,0.0146756
138,138,0.0147994
139,139,0.0149233
140,140,0.0150472
141,141,0.0151712
142,142,0.0152951
143,143,0.0154191
144,144,0.0155431
145,145,0.0156671
146,146,0.0157912
147,147,0.0159153
148,148,0.0160394
149,149,0.0161635
150,150,0.0162876
151,151,0.0164118
152,152,0.016536
153,153,0.0166602
154,154,0.0167844
155,155,0.0169087
156,156,0.017033
157,157,0.0171573
158,158,0.0172763
159,159,0.0174013
160,160,0.0175263
161,161,0.0176513
162,162,0.0177763
163,163,0.0179013
164,164,0.0180264
165,165,0.0181515
166,166,0.0182766
167,167,0.0184017
168,168,0.0185269
169,169,0.018652
170,170,0.0187772
171,171,0.0189024
172,172,0.0190276
173,173,0.0191529
174,174,0.0192781
175,175,0.0194034
176,176,0.0195287
177,177,0.019654
178,178,0.0197793
179,179,0.0199047
180,180,0.0200301
181,181,0.0201555
182,182,0.0202809
183,183,0.0204063
184,184,0.0205317
185,185,0.0206572
186,186,0.0207827
187,187,0.0209082
188,188,0.0210337
189,189,0.0211593
190,190,0.0212848
191,191,0.0214104
192,192,0.021536
193,193,0.0216616
194,194,0.0217872
195,195,0.0219129
196,196,0.0220385
197,197,0.0221642
198,198,0.0222942
199,199,0.0224204
200,200,0.0225467
201,201,0.0226729
202,202,0.0227992
203,203,0.0229255
204,204,0.0230518
205,205,0.0231782
206,206,0.0233045
207,207,0.0234309
208,208,0.0235572
209,209,0.0236836
210,210,0.02381
211,211,0.0239365
212,212,0.0240629
213,213,0.0241894
214,214,0.0243158
215,215,0.0244423
216,216,0.0245688
217,217,0.0246954
218,218,0.0248219
219,219,0.0249485
220,220,0.025075
221,221,0.0252016
222,222,0.0253282
223,223,0.0254548
224,224,0.0255814
225,225,0.0257081
226,226,0.0258347
227,227,0.0259614
228,228,0.0260881
229,229,0.0262219
230,230,0.0263491
231,231,0.0264762
232,232,0.0266034
233,233,0.0267306
234,234,0.0268579
235,235,0.0269851
236,236,0.0271123
237,237,0.0272396
238,238,0.0273669
239,239,0.0274942
240,240,0.0276215
241,241,0.0277488
242,242,0.0278761
243,243,0.0280035
244,244,0.0281308
245,245,0.0282582
246,246,0.0283856
247,247,0.028513
248,248,0.0286404
249,249,0.0287678
250,250,0.0288953
251,251,0.0290227
252,252,0.0291502
253,253,0.0292777
254,254,0.0294051
255,255,0.0295326
256,256,0.0296602
257,257,0.0297956
258,258,0.0299236
259,259,0.0300515
260,260,0.0301795
261,261,0.0303075
262,262,0.0304355
263,263,0.0305635
264,264,0.0306915
265,265,0.0308195
266,266,0.0309475
267,267,0.0310756
268,268,0.0312037
269,269,0.0313317
270,270,0.0314598
271,271,0.0315879
272,272,0.031716
273,273,0.0318441
274,274,0.0319723
275,275,0.0321004
276,276,0.0322286
277,277,0.0323567
278,278,0.0324849
279,279,0.0326131
280,280,0.0327413
281,281,0.0328695
282,282,0.0329977
283,283,0.033126
284,284,0.0332542
285,285,0.0333825
286,286,0.0335196
287,287,0.0336482
288,288,0.0337769
289,289,0.0339056
290,290,0.0340342
291,291,0.0341629
292,292,0.0342916
293,293,0.0344203
294,294,0.034549
295,295,0.0346777
296,296,0.0348065
297,297,0.0349352
298,298,0.035064
299,299,0.0351927
300,300,0.0353215
301,301,0.0354503
302,302,0.0355791
303,303,0.0357079
304,304,0.0358367
305,305,0.0359655
306,306,0.0360943
307,307,0.0362232
308,308,0.036352
309,309,0.0364809
310,310,0.0366098
311,311,0.0367387
312,312,0.0368676
313,313,0.0370054
314,314,0.0371346
315,315,0.0372639
316,316,0.0373931
317,317,0.0375224
318,318,0.0376517
319,319,0.037781
320,320,0.0379103
321,321,0.0380396
322,322,0.0381689
323,323,0.0382982
324,324,0.0384275
325,325,0.0385569
326,326,0.0386862
327,327,0.0388156
328,328,0.038945
329,329,0.0390743
330,330,0.0392037
331,331,0.0393331
332,332,0.0394625
333,333,0.039592
334,334,0.0397214
335,335,0.0398508
336,336,0.0399803
337,337,0.0401097
338,338,0.0402392
339,339,0.0403686
340,340,0.0404981
341,341,0.0406276
342,342,0.0407665
343,343,0.0408963
344,344,0.0410261
345,345,0.041156
346,346,0.0412858
347,347,0.0414047
348,348,0.0415342
349,349,0.0416638
350,350,0.0417934
351,351,0.0419229
352,352,0.0420525
