VLOAD,I(R1),V(illu)
0.1,0.00417588015963506,100
0.2,0.00416258477581061,100
0.3,0.00414928937699377,100
0.4,0.00413599395512915,100
0.5,0.00412269849783353,100
0.6,0.00410940298606988,100
0.7,0.00409610739057292,100
0.8,0.0040828116663536,100
0.9,0.00406951574424996,100
1,0.00405621951794,100
1.1,0.00404292282397611,100
1.2,0.00402962541109042,100
1.3,0.0040163268930119,100
1.4,0.00400302667592745,100
1.5,0.00398972384697349,100
1.6,0.00397641700281093,100
1.7,0.00396310398609723,100
1.8,0.00394978148036662,100
1.9,0.00393644438724494,100
2,0.00392308486905057,100
2.1,0.00390969087700332,100
2.2,0.00389624388867449,100
2.3,0.00388271542984842,100
2.4,0.00386906172775747,100
2.5,0.00385521549188073,100
2.6,0.00384107327946492,100
2.7,0.00382647607458808,100
2.8,0.00381117943715181,100
2.9,0.00379480762413231,100
3,0.00377678308650031,100
3.1,0.00375621814676252,100
3.2,0.0037317486207038,100
3.3,0.003701278387922,100
3.4,0.0036615875306607,100
3.5,0.00360773183595331,100
3.6,0.00353212414879378,100
3.7,0.00342313271407901,100
3.8,0.00326295121953679,100
3.9,0.0030243823908922,100
4,0.0026660280893287,100
4.1,0.0021252050387548,100
4.2,0.00130775774750314,100
4.3,9.99999999999959E-05,100
4.4,0.0001,100
4.5,0.0001,100
4.6,0.0001,100
4.625,0.0001,100
4.65,0.0001,100
4.675,0.0001,100
4.7,0.0001,100
4.725,0.0001,100
4.75,0.0001,100
4.775,0.0001,100
4.8,0.0001,100
4.825,0.0001,100
4.85,0.0001,100
4.875,0.0001,100
4.9,0.0001,100
4.925,0.0001,100
4.95,0.0001,100
4.975,0.0001,100
5,0.0001,100
0.1,0.00836505569282757,200
0.2,0.00835176030824902,200
0.3,0.00833846490827286,200
0.4,0.00832516948462614,200
0.5,0.00831187402459077,200
0.6,0.00829857850861549,200
0.7,0.00828528290664393,200
0.8,0.00827198717247113,200
0.9,0.00825869123506628,200
1,0.0082453949852338,200
1.1,0.00823209825510885,200
1.2,0.00821880078663306,200
1.3,0.00820550218309601,200
1.4,0.0081922018346372,200
1.5,0.00817889880372213,200
1.6,0.00816559164908592,200
1.7,0.00815227815508357,200
1.8,0.00813895491562078,200
1.9,0.00812561669453893,200
2,0.0081122554423414,200
2.1,0.00809885878462735,200
2.2,0.00808540769840072,200
2.3,0.00807187293993561,200
2.4,0.00805820955352621,200
2.5,0.00804434843018709,200
2.6,0.00803018333178818,200
2.7,0.00801555094542006,200
2.8,0.00800020022601955,200
2.9,0.00798374527860934,200
3,0.00796559295191157,200
3.1,0.00794483159331838,200
3.2,0.00792006018572433,200
3.3,0.00788912604219805,200
3.4,0.00784872241881107,200
3.5,0.00779377193942077,200
3.6,0.00771648347831366,200
